국가명,기간,수입금액(천불),수입중량(톤),수출금액(천불),수출중량(톤),품목명
보스니아헤르체고비나,2022,13128.0,6278.0,0.0,0.0,연
볼리비아,2022,223168.0,65800.0,0.0,0.0,연
불가리아,2022,15045.0,9091.0,0.0,0.0,연
세르비아,2022,28827.0,12207.0,0.0,0.0,연
스웨덴,2022,14293.0,7260.0,0.0,0.0,연
스위스,2022,1.0,0.0,0.0,0.0,연
스페인,2022,5543.0,5564.0,0.0,0.0,연
싱가포르,2022,,,,,연
온두라스,2022,29430.0,14386.0,0.0,0.0,연
인도네시아,2022,0.0,0.0,20.0,41.0,연
일본,2022,,,,,연
중국,2022,,,,,연
칠레,2022,,,,,연
태국,2022,0.0,0.0,26.0,41.0,연
튀르키예,2022,17554.0,8429.0,0.0,0.0,연
페루,2022,255894.0,101062.0,0.0,0.0,연
호주,2022,191203.0,78904.0,0.0,0.0,연
남아프리카공화국,2021,53314.0,56913.0,0.0,0.0,아연
네덜란드,2021,0.0,0.0,0.0,0.0,아연
대만,2021,,,,,아연
라오스,2021,,,,,아연
러시아연방,2021,16407.0,13508.0,0.0,0.0,아연
마케도니아,2021,914.0,896.0,0.0,0.0,아연
말레이시아,2021,0.0,0.0,0.0,0.0,아연
멕시코,2021,332112.0,229823.0,0.0,0.0,아연
모로코,2021,1545.0,1408.0,0.0,0.0,아연
몬테네그로,2021,,,,,아연
미국,2021,204776.0,164582.0,0.0,0.0,아연
방글라데시,2021,163.0,198.0,0.0,0.0,아연
베트남,2021,1712.0,1729.0,0.0,0.0,아연
벨기에,2021,,,,,아연
볼리비아,2021,161997.0,121552.0,0.0,0.0,아연
브라질,2021,,,,,아연
사우디아라비아,2021,13432.0,10936.0,0.0,0.0,아연
세르비아,2021,6243.0,4820.0,0.0,0.0,아연
스페인,2021,10283.0,9406.0,0.0,0.0,아연
UAE,2021,0.0,0.0,0.0,0.0,아연
아르헨티나,2021,13889.0,9753.0,0.0,0.0,아연
알바니아,2021,9556.0,38490.0,0.0,0.0,아연
에리트리아,2021,101837.0,91844.0,0.0,0.0,아연
영국,2021,0.0,0.0,0.0,0.0,아연
온두라스,2021,,,,,아연
인도,2021,,,,,아연
인도네시아,2021,3645.0,2799.0,0.0,0.0,아연
일본,2021,0.0,0.0,5515.0,3810.0,아연
중국,2021,0.0,0.0,18.0,60.0,아연
칠레,2021,25228.0,25895.0,0.0,0.0,아연
캐나다,2021,58689.0,45621.0,0.0,0.0,아연
태국,2021,,,,,아연
튀르키예,2021,8281.0,7408.0,0.0,0.0,아연
파키스탄,2021,1419.0,1399.0,0.0,0.0,아연
페루,2021,423114.0,375409.0,0.0,0.0,아연
프랑스,2021,0.0,0.0,0.0,0.0,아연
필리핀,2021,,,,,아연
호주,2021,596329.0,605372.0,29146.0,19934.0,아연
남아프리카공화국,2022,5340.0,4095.0,0.0,0.0,아연
네덜란드,2022,,,,,아연
대만,2022,0.0,0.0,0.0,0.0,아연
라오스,2022,763.0,671.0,0.0,0.0,아연
러시아연방,2022,22505.0,14574.0,0.0,0.0,아연
마케도니아,2022,,,,,아연
말레이시아,2022,25.0,39.0,0.0,0.0,아연
멕시코,2022,434390.0,257595.0,0.0,0.0,아연
모로코,2022,614.0,362.0,0.0,0.0,아연
몬테네그로,2022,1990.0,1199.0,0.0,0.0,아연
